interval k T mean_q2 err_q2 mean_e err_e
2 29 1.825806 0.01400007604 0.0003276588 -1.2777947703 0.00056625044
2 30 1.883871 0.012301804619999999 0.00025084098 -1.2543715046 0.00058128548
2 31 1.941935 0.0109589239 0.00024611672 -1.2316520306799998 0.00065408386
2 32 2.0 0.00981646774 0.00024355182000000003 -1.2088353416 0.00077579276
3 1 0.2 0.8033328669199999 0.03447076502 -1.6835070475000002 5.0963760000000006e-05
3 2 0.258065 0.71525171884 0.02894217642 -1.6819493739599998 8.336892e-05
3 3 0.316129 0.63936129288 0.01802700346 -1.6797411545199998 0.00014706522
3 4 0.374194 0.6020455570600001 0.0166966642 -1.676879848 0.0001639383
3 5 0.432258 0.5785868601799999 0.017739559760000002 -1.6733744506400001 0.00016579054
3 6 0.490323 0.55275791624 0.01809772606 -1.66917360198 0.0001752464
3 7 0.548387 0.52204513326 0.01696810824 -1.6641128270799999 0.00021373673999999999
3 8 0.606452 0.48666642399999993 0.013385161780000002 -1.6580889079999999 0.00026375866
3 9 0.664516 0.44808614049999995 0.009200166380000001 -1.65100004608 0.00030378458000000004
3 10 0.722581 0.40965715572 0.007638842579999999 -1.6429259643799998 0.00028976496000000004
3 11 0.780645 0.37300071828 0.0069406695200000005 -1.63368231246 0.00022659059999999997
3 12 0.83871 0.33586851194 0.0066022623 -1.6232657137 0.00020614918000000002
3 13 0.896774 0.29817703384 0.0057537596 -1.6113682376 0.00020626888
3 14 0.954839 0.25899319126 0.0057221758400000005 -1.5981688690999998 0.00027657315999999997
3 15 1.012903 0.21746760848000002 0.00541737678 -1.583328008 0.00026428518
3 16 1.070968 0.17696657182000003 0.00465660516 -1.56681902238 0.00034325177999999996
3 17 1.129032 0.14063701235999998 0.00374862822 -1.5488514768 0.00034852133999999996
3 18 1.187097 0.11195657029999999 0.00312162254 -1.52950484784 0.00036601546
3 19 1.245161 0.08835092764 0.00224709688 -1.5092063408 0.00038065888
3 20 1.303226 0.07064559107999999 0.0015490990600000002 -1.48818169898 0.00037840406
3 21 1.36129 0.05713320526 0.0010510614200000001 -1.46613656382 0.000410186
3 22 1.419355 0.04668400382 0.00076631152 -1.44337280202 0.0003100338
3 23 1.477419 0.03786361104 0.00065139242 -1.4200910013199999 0.00030583152
3 24 1.535484 0.031068203760000003 0.00044825678 -1.39640328912 0.00037010582
3 25 1.593548 0.02588064746 0.00039260652 -1.37291158336 0.00032916392
3 26 1.651613 0.02173876616 0.00031139004 -1.34885429514 0.00039298344000000005
3 27 1.709677 0.01854449396 0.00020886842 -1.3249093265399998 0.0003458189
3 28 1.767742 0.01596624086 0.00020904588000000002 -1.30123558332 0.00035977542
3 29 1.825806 0.013931723839999998 0.00016317946 -1.27756531486 0.00036495122
3 30 1.883871 0.012375307280000001 0.00016160554 -1.2546852878199999 0.0004928929800000001
3 31 1.941935 0.010954647139999999 0.00012357986 -1.23144212442 0.0003269563
3 32 2.0 0.00985066162 0.0001232911 -1.2090873778 0.00044233248000000007
4 1 0.2 0.8114742253599999 0.013176728799999999 -1.6834567372599998 3.883864e-05
4 2 0.258065 0.7124535426999999 0.014399976320000002 -1.6818465375400002 6.379008e-05
4 3 0.316129 0.6385545559200001 0.01099487354 -1.6795737982399999 7.890062000000001e-05
4 4 0.374194 0.6009499657 0.008946324280000001 -1.6767022572599999 8.595106e-05
4 5 0.432258 0.5774309556 0.008807877019999999 -1.6732284500199999 9.716792e-05
4 6 0.490323 0.55097801108 0.00894840488 -1.6690277969 0.00010203531999999999
4 7 0.548387 0.5202140121800001 0.00791008166 -1.6639549304599999 9.576468e-05
4 8 0.606452 0.48769042809999996 0.006674666960000001 -1.65796848432 9.914871999999999e-05
4 9 0.664516 0.45348170194000004 0.0052982798 -1.6510108423799998 0.00010317288
4 10 0.722581 0.41814820900000005 0.004270726000000001 -1.64299449072 0.00010279984
4 11 0.780645 0.38118772892 0.0037348876599999996 -1.63380724604 0.00010323745999999999
4 12 0.83871 0.34349087186 0.0027154796799999997 -1.6233912134600001 9.758099999999999e-05
4 13 0.896774 0.30459401756000004 0.00254385442 -1.61161599638 0.00010116734
4 14 0.954839 0.26486690776 0.00224657188 -1.59848084644 0.00012494342
4 15 1.012903 0.22344204350000002 0.00199884312 -1.5836029618 0.00014884116
4 16 1.070968 0.18146793746 0.00175195848 -1.56705000344 0.00015120914
4 17 1.129032 0.1440935268 0.0015201372399999999 -1.5490887066199999 0.00016274058
4 18 1.187097 0.11294764453999999 0.00116212838 -1.52966841194 0.00019149522
4 19 1.245161 0.0891832147 0.0008697715599999999 -1.5092820961 0.00015810206
4 20 1.303226 0.07136460664 0.00064793048 -1.48805586316 0.00017319596
4 21 1.36129 0.057477560760000004 0.00057401784 -1.46607590064 0.0001597024
4 22 1.419355 0.046547946379999997 0.00050974714 -1.4435719973599999 0.00018794544000000002
4 23 1.477419 0.0380250603 0.0003679315 -1.42028799974 0.00021747284
4 24 1.535484 0.03144131982 0.00020512484 -1.39676616968 0.0001786306
4 25 1.593548 0.026094276519999998 0.00017578668 -1.3729391250599998 0.00027199246
4 26 1.651613 0.02185419376 0.00018252748000000002 -1.3489844725200002 0.00021435745999999999
4 27 1.709677 0.018596925559999998 0.00016099756 -1.32504739102 0.0002000992
4 28 1.767742 0.016024064240000004 0.0001427372 -1.30122281298 0.00016572513999999999
4 29 1.825806 0.01394195756 0.00010900668 -1.2775712283 0.00016853428000000002
4 30 1.883871 0.01229835948 9.453324e-05 -1.25438384036 0.00020107948
4 31 1.941935 0.01093626746 7.328278e-05 -1.23149931948 0.0002475935
4 32 2.0 0.00985467854 7.691112e-05 -1.2090133005400001 0.00022382622
