# mcs  k  T(k)  Q(k)  Eavg(k)
         160    3     0.411765           34       -97.5924887964
         160    4     0.517647           24       -97.2100066140
         160    5     0.623529          -46       -97.3389070733
         160    6     0.729412            4       -92.5099911904
         160    7     0.835294            8       -87.8452617082
         160    8     0.941176           26       -90.4186961274
         160    9     1.047059            2       -91.1684972841
         160   10     1.152941           26       -93.5009820694
         160   11     1.258824          -26       -82.3719079378
         160   12     1.364706            0       -82.7510113719
         160   13     1.470588          -14       -81.9797132024
         160   14     1.576471           10       -76.8576184830
         160   15     1.682353          -10       -81.2096525197
         160   16     1.788235          -18       -80.9090744044
         160   17     1.894118            2       -72.3646516055
         160   18     2.000000           18       -63.2333061374
         170    1     0.200000           20       -98.0305257506
         170    2     0.305882          -44       -97.8614258223
         170    3     0.411765           26       -97.1816796034
         170    4     0.517647           32       -98.0410438692
         170    5     0.623529          -34       -94.5868752441
         170    6     0.729412           26       -91.4216933128
         170    7     0.835294           16       -93.3413013688
         170    8     0.941176            6       -93.4119396294
         170    9     1.047059          -32       -85.5315947105
         170   10     1.152941          -14       -83.9306687667
         170   11     1.258824           44       -91.1100638837
         170   12     1.364706          -24       -86.9479593488
         170   13     1.470588           34       -78.8399247211
         170   14     1.576471            4       -84.5990159410
         170   15     1.682353          -32       -79.5758847921
         170   16     1.788235          -18       -74.4149199367
         170   17     1.894118           36       -87.5723267641
         170   18     2.000000          -20       -79.4414159269
         180    1     0.200000           20       -98.0305257506
         180    2     0.305882           24       -97.8607151971
         180    3     0.411765           -8       -96.3029685765
         180    4     0.517647           56       -98.1432797304
         180    5     0.623529          -16       -95.2836873714
         180    6     0.729412           18       -93.6774078552
         180    7     0.835294           22       -91.1159671804
         180    8     0.941176           36       -95.5953273084
         180    9     1.047059            4       -90.5719994221
         180   10     1.152941           48       -91.0736066249
         180   11     1.258824          -36       -92.6401692561
         180   12     1.364706           16       -88.7736578111
         180   13     1.470588          -10       -87.2471292049
         180   14     1.576471          -22       -83.7827103901
         180   15     1.682353            0       -88.2878222630
         180   16     1.788235           12       -85.0382907660
         180   17     1.894118          -16       -75.9028251826
         180   18     2.000000          -26       -74.8030243818
         190    1     0.200000           22       -98.1036603415
         190    2     0.305882           24       -98.2326725976
         190    3     0.411765           42       -96.5310226265
         190    4     0.517647           -6       -95.7053582360
         190    5     0.623529          -20       -96.7944238388
         190    6     0.729412           24       -94.2983277817
         190    7     0.835294           36       -96.5850264429
         190    8     0.941176           30       -93.7195143050
         190    9     1.047059           44       -92.5192687557
         190   10     1.152941           10       -93.5688574810
         190   11     1.258824           34       -84.2540156905
         190   12     1.364706          -22       -88.5125023961
         190   13     1.470588          -24       -82.9001764562
         190   14     1.576471          -24       -79.1257594121
         190   15     1.682353           12       -88.3355718876
         190   16     1.788235          -28       -86.6032655979
         190   17     1.894118           -6       -69.6450945144
         190   18     2.000000           10       -77.1744556073
         200    1     0.200000           22       -98.1036603415
         200    2     0.305882          -22       -98.1485309205
         200    3     0.411765          -46       -96.5588321322
         200    4     0.517647          -40       -97.2442144563
         200    5     0.623529           -8       -93.9061494461
         200    6     0.729412           -4       -95.8130549264
         200    7     0.835294          -34       -95.0025955236
         200    8     0.941176          -30       -95.8102672256
         200    9     1.047059          -30       -91.1493771257
         200   10     1.152941           38       -91.5562176912
         200   11     1.258824           14       -90.5547398212
         200   12     1.364706          -38       -88.9673312749
         200   13     1.470588          -28       -89.8273527342
