# nmeas_total =          700
# k  T  Q  count
   4     0.434783    -44           21
   4     0.434783    -43            0
   4     0.434783    -42           19
   4     0.434783    -41            0
   4     0.434783    -40           23
   4     0.434783    -39            0
   4     0.434783    -38           20
   4     0.434783    -37            0
   4     0.434783    -36            5
   4     0.434783    -35            0
   4     0.434783    -34           11
   4     0.434783    -33            0
   4     0.434783    -32            7
   4     0.434783    -31            0
   4     0.434783    -30            4
   4     0.434783    -29            0
   4     0.434783    -28            3
   4     0.434783    -27            0
   4     0.434783    -26            8
   4     0.434783    -25            0
   4     0.434783    -24            0
   4     0.434783    -23            0
   4     0.434783    -22            5
   4     0.434783    -21            0
   4     0.434783    -20            1
   4     0.434783    -19            0
   4     0.434783    -18            4
   4     0.434783    -17            0
   4     0.434783    -16            0
   4     0.434783    -15            0
   4     0.434783    -14            1
   4     0.434783    -13            0
   4     0.434783    -12            1
   4     0.434783    -11            0
   4     0.434783    -10            0
   4     0.434783     -9            0
   4     0.434783     -8            0
   4     0.434783     -7            0
   4     0.434783     -6            0
   4     0.434783     -5            0
   4     0.434783     -4            1
   4     0.434783     -3            0
   4     0.434783     -2            0
   4     0.434783     -1            0
   4     0.434783      0            0
   4     0.434783      1            0
   4     0.434783      2            0
   4     0.434783      3            0
   4     0.434783      4            1
   4     0.434783      5            0
   4     0.434783      6            0
   4     0.434783      7            0
   4     0.434783      8            1
   4     0.434783      9            0
   4     0.434783     10            1
   4     0.434783     11            0
   4     0.434783     12            1
   4     0.434783     13            0
   4     0.434783     14            1
   4     0.434783     15            0
   4     0.434783     16            0
   4     0.434783     17            0
   4     0.434783     18            0
   4     0.434783     19            0
   4     0.434783     20            2
   4     0.434783     21            0
   4     0.434783     22            1
   4     0.434783     23            0
   4     0.434783     24            4
   4     0.434783     25            0
   4     0.434783     26            8
   4     0.434783     27            0
   4     0.434783     28            6
   4     0.434783     29            0
   4     0.434783     30            3
   4     0.434783     31            0
   4     0.434783     32            6
   4     0.434783     33            0
   4     0.434783     34            5
   4     0.434783     35            0
   4     0.434783     36            3
   4     0.434783     37            0
   4     0.434783     38            6
   4     0.434783     39            0
   4     0.434783     40           16
   4     0.434783     41            0
   4     0.434783     42           10
   4     0.434783     43            0
   4     0.434783     44           32
   4     0.434783     45            0
   4     0.434783     46           25
   4     0.434783     47            0
   4     0.434783     48           17
   4     0.434783     49            0
   4     0.434783     50           28
   4     0.434783     51            0
   4     0.434783     52            8
   4     0.434783     53            0
   4     0.434783     54           12
   4     0.434783     55            0
   4     0.434783     56           21
   4     0.434783     57            0
   4     0.434783     58           15
   4     0.434783     59            0
   4     0.434783     60           22
   4     0.434783     61            0
   4     0.434783     62           43
   4     0.434783     63            0
   4     0.434783     64           82
   5     0.513043    -64           25
   5     0.513043    -63            0
   5     0.513043    -62           18
   5     0.513043    -61            0
   5     0.513043    -60           17
   5     0.513043    -59            0
   5     0.513043    -58            8
   5     0.513043    -57            0
   5     0.513043    -56           10
   5     0.513043    -55            0
   5     0.513043    -54           12
   5     0.513043    -53            0
   5     0.513043    -52           10
   5     0.513043    -51            0
   5     0.513043    -50           18
   5     0.513043    -49            0
   5     0.513043    -48           12
   5     0.513043    -47            0
   5     0.513043    -46           20
   5     0.513043    -45            0
   5     0.513043    -44           31
   5     0.513043    -43            0
   5     0.513043    -42           24
   5     0.513043    -41            0
   5     0.513043    -40           31
   5     0.513043    -39            0
   5     0.513043    -38           24
   5     0.513043    -37            0
   5     0.513043    -36            9
   5     0.513043    -35            0
   5     0.513043    -34            5
   5     0.513043    -33            0
   5     0.513043    -32           17
   5     0.513043    -31            0
   5     0.513043    -30           11
   5     0.513043    -29            0
   5     0.513043    -28            8
   5     0.513043    -27            0
   5     0.513043    -26            3
   5     0.513043    -25            0
   5     0.513043    -24            4
   5     0.513043    -23            0
   5     0.513043    -22            5
   5     0.513043    -21            0
   5     0.513043    -20            3
   5     0.513043    -19            0
   5     0.513043    -18            0
   5     0.513043    -17            0
   5     0.513043    -16            4
   5     0.513043    -15            0
   5     0.513043    -14            1
   5     0.513043    -13            0
   5     0.513043    -12            1
   5     0.513043    -11            0
   5     0.513043    -10            0
   5     0.513043     -9            0
   5     0.513043     -8            0
   5     0.513043     -7            0
   5     0.513043     -6            0
   5     0.513043     -5            0
   5     0.513043     -4            0
   5     0.513043     -3            0
   5     0.513043     -2            0
   5     0.513043     -1            0
   5     0.513043      0            1
   5     0.513043      1            0
   5     0.513043      2            1
   5     0.513043      3            0
   5     0.513043      4            0
   5     0.513043      5            0
   5     0.513043      6            0
   5     0.513043      7            0
   5     0.513043      8            0
